ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300347.SZ,20190102,43.24,43.24,39.1,39.2,42.75,-3.55,-8.3041,67562.16,271470.34
300347.SZ,20190103,39.28,40.31,37.97,38.5,39.2,-0.7,-1.7857,71584.17,279781.845
300347.SZ,20190104,38.23,40.07,38.21,40.07,38.5,1.57,4.0779,81595.52,319732.869
300347.SZ,20190107,39.99,40.49,38.86,39.09,40.07,-0.98,-2.4457,62184.58,244668.039
300347.SZ,20190108,38.9,39.72,38.8,39.19,39.09,0.1,0.2558,32476.32,127620.77
300347.SZ,20190109,39.19,40.39,39.1,39.29,39.19,0.1,0.2552,49687.03,197506.143
300347.SZ,20190110,39.26,39.32,36.64,38.65,39.29,-0.64,-1.6289,90311.69,341911.556
300347.SZ,20190111,38.25,39.25,38.03,39.15,38.65,0.5,1.2937,42109.0,163310.6
300347.SZ,20190114,39.45,39.92,38.92,39.0,39.15,-0.15,-0.3831,41623.82,164186.661
300347.SZ,20190115,39.0,41.35,38.8,40.89,39.0,1.89,4.8462,47010.66,188783.755
300347.SZ,20190116,40.66,42.4,40.3,41.71,40.89,0.82,2.0054,44538.6,183588.625
300347.SZ,20190117,41.35,42.0,40.93,41.6,41.71,-0.11,-0.2637,25199.29,104734.919
300347.SZ,20190118,41.72,43.09,41.25,42.81,41.6,1.21,2.9087,26563.48,112991.651
300347.SZ,20190121,42.86,44.75,42.85,44.08,42.81,1.27,2.9666,45226.59,199181.856
300347.SZ,20190122,44.39,44.39,41.88,42.2,44.08,-1.88,-4.265,41404.12,176845.447
300347.SZ,20190123,42.58,42.58,41.39,41.92,42.2,-0.28,-0.6635,33201.13,139079.112
300347.SZ,20190124,42.15,42.39,41.1,41.76,41.92,-0.16,-0.3817,31782.03,133056.817
300347.SZ,20190125,41.93,43.68,41.84,43.3,41.76,1.54,3.6877,35280.35,151958.674
300347.SZ,20190128,43.56,43.9,41.9,42.25,43.3,-1.05,-2.4249,36140.66,154260.548
300347.SZ,20190129,42.6,43.58,42.33,43.25,42.25,1.0,2.3669,33694.47,144776.352
300347.SZ,20190130,42.8,43.33,41.85,41.86,43.25,-1.39,-3.2139,30302.34,128537.542
