ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601398.SH,20200102,5.92,6.03,5.91,5.97,5.88,0.09,1.5306,2349493.97,1404442.753
601398.SH,20200103,5.97,6.02,5.96,5.99,5.97,0.02,0.335,1522130.47,911951.562
601398.SH,20200106,5.96,6.05,5.95,5.97,5.99,-0.02,-0.3339,2265097.05,1359917.424
601398.SH,20200107,5.98,6.04,5.98,6.01,5.97,0.04,0.67,1168043.53,701615.827
601398.SH,20200108,5.96,5.97,5.9,5.91,6.01,-0.1,-1.6639,1585590.9,940552.725
601398.SH,20200109,5.95,5.96,5.88,5.91,5.91,0.0,0.0,1377134.29,813806.686
601398.SH,20200110,5.91,5.93,5.86,5.91,5.91,0.0,0.0,978377.73,576580.178
601398.SH,20200113,5.9,5.93,5.87,5.93,5.91,0.02,0.3384,1089910.03,642791.834
601398.SH,20200114,5.92,5.96,5.91,5.94,5.93,0.01,0.1686,1367700.59,812389.848
601398.SH,20200115,5.93,5.94,5.87,5.88,5.94,-0.06,-1.0101,1288907.56,759512.875
601398.SH,20200116,5.87,5.89,5.79,5.8,5.88,-0.08,-1.3605,2690313.51,1572007.903
601398.SH,20200117,5.81,5.84,5.8,5.82,5.8,0.02,0.3448,1039490.27,605076.653
601398.SH,20200120,5.81,5.86,5.8,5.84,5.82,0.02,0.3436,1033399.62,602786.615
601398.SH,20200121,5.82,5.83,5.76,5.77,5.84,-0.07,-1.1986,1432236.69,828268.482
601398.SH,20200122,5.76,5.79,5.71,5.79,5.77,0.02,0.3466,1283707.88,738870.049
601398.SH,20200123,5.76,5.78,5.7,5.72,5.79,-0.07,-1.209,2000376.55,1146238.55
601398.SH,20200203,5.3,5.58,5.3,5.42,5.72,-0.3,-5.2448,4680399.02,2524272.183
601398.SH,20200204,5.39,5.53,5.36,5.5,5.42,0.08,1.476,4013852.61,2178867.252
601398.SH,20200205,5.49,5.52,5.42,5.49,5.5,-0.01,-0.1818,2508538.05,1374458.723
601398.SH,20200206,5.5,5.53,5.44,5.5,5.49,0.01,0.1821,2809954.29,1538957.671
601398.SH,20200207,5.47,5.47,5.4,5.44,5.5,-0.06,-1.0909,2373189.96,1288428.158
601398.SH,20200210,5.41,5.43,5.38,5.42,5.44,-0.02,-0.3676,1902386.33,1027646.561
601398.SH,20200211,5.43,5.47,5.41,5.46,5.42,0.04,0.738,1984984.5,1081002.724
601398.SH,20200212,5.46,5.47,5.42,5.46,5.46,0.0,0.0,2039144.33,1109148.701
601398.SH,20200213,5.45,5.45,5.4,5.41,5.46,-0.05,-0.9158,1995657.62,1082005.691
601398.SH,20200214,5.4,5.44,5.39,5.43,5.41,0.02,0.3697,1415764.48,767126.663
601398.SH,20200217,5.42,5.49,5.41,5.49,5.43,0.06,1.105,2141949.06,1169117.31
601398.SH,20200218,5.47,5.48,5.44,5.46,5.49,-0.03,-0.5464,1845424.4,1007061.194
601398.SH,20200219,5.45,5.5,5.45,5.48,5.46,0.02,0.3663,2040523.82,1115986.859
601398.SH,20200220,5.48,5.52,5.44,5.51,5.48,0.03,0.5474,2836680.91,1552477.582
601398.SH,20200221,5.49,5.52,5.47,5.49,5.51,-0.02,-0.363,2237102.93,1228187.059
601398.SH,20200224,5.48,5.49,5.43,5.44,5.49,-0.05,-0.9107,1933291.9,1053685.893
601398.SH,20200225,5.4,5.42,5.39,5.41,5.44,-0.03,-0.5515,2301332.75,1243466.243
601398.SH,20200226,5.38,5.44,5.36,5.41,5.41,0.0,0.0,2579688.13,1393315.557
